20210620-135437, fd=15 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~waterparam?band=4&zoom=0&start=0
20210620-135437, fd=16 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~param?f=146930&band=4&lo=-6.25&hi=6.25&mode=4&name=BR%2CRJ%2CBarra%20Mansa
20210620-135437, fd=16 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~param?f=146930&band=4&lo=-6.25&hi=6.25&mode=4&name=BR%2CRJ%2CBarra%20Mansa
20210620-135437, fd=16 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~param?mute=0
20210620-135437, fd=16 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~param?squelch=0
20210620-135437, fd=16 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~param?autonotch=0
20210620-135438, fd=14 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~othersjj?chseq=2 HTTP/1.1
20210620-135438, fd=14 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /tmp/1623530757-b0z0i0.png HTTP/1.1
20210620-135438, fd=14 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135438, fd=14 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135438, fd=8 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /tmp/1623530757-b1z0i0.png HTTP/1.1
20210620-135438, fd=8 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135438, fd=8 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135438, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /tmp/1623530757-b2z0i0.png HTTP/1.1
20210620-135438, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135438, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135438, fd=13 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /tmp/1623530757-b3z0i0.png HTTP/1.1
